127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000649
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000568
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001267
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001374
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000840
127.0.0.1, 2013-07-25 21:03:38, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000468
127.0.0.1, 2013-07-25 21:03:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2013-07-25 21:03:40, POST, /admin/default/index, HTTP/1.1, 303, 0.137558
127.0.0.1, 2013-07-25 21:03:40, GET, /admin/default/site, HTTP/1.1, 200, 0.215821
127.0.0.1, 2013-07-25 21:03:40, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000710
127.0.0.1, 2013-07-25 21:03:40, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001508
127.0.0.1, 2013-07-25 21:03:40, GET, /admin/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001967
127.0.0.1, 2013-07-25 21:03:40, POST, /admin/default/check_version, HTTP/1.1, 200, 0.474579
127.0.0.1, 2013-07-25 21:03:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000391
127.0.0.1, 2013-07-25 21:04:26, GET, /admin/default/site, HTTP/1.1, 200, 0.061368
127.0.0.1, 2013-07-25 21:04:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
127.0.0.1, 2013-07-25 21:04:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2013-07-25 21:04:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000468
127.0.0.1, 2013-07-25 21:04:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2013-07-25 21:04:34, GET, /admin/default/index, HTTP/1.1, 303, 0.009976
127.0.0.1, 2013-07-25 21:04:34, GET, /admin/default/site, HTTP/1.1, 200, 0.067987
127.0.0.1, 2013-07-25 21:04:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000542
127.0.0.1, 2013-07-25 21:04:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2013-07-25 21:04:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2013-07-25 21:04:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2013-07-25 21:04:36, GET, /admin/default/logout, HTTP/1.1, 303, 0.034354
127.0.0.1, 2013-07-25 21:04:36, GET, /admin/default/index, HTTP/1.1, 200, 0.040692
127.0.0.1, 2013-07-25 21:04:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000655
127.0.0.1, 2013-07-25 21:04:41, POST, /admin/default/index, HTTP/1.1, 303, 0.116970
127.0.0.1, 2013-07-25 21:04:41, GET, /admin/default/site, HTTP/1.1, 200, 0.058842
127.0.0.1, 2013-07-25 21:04:42, POST, /admin/default/check_version, HTTP/1.1, 200, 0.398579
127.0.0.1, 2013-07-25 21:04:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000411
127.0.0.1, 2013-07-25 21:04:42, GET, /admin/default/index, HTTP/1.1, 303, 0.005320
127.0.0.1, 2013-07-25 21:04:42, GET, /admin/default/site, HTTP/1.1, 200, 0.062543
127.0.0.1, 2013-07-25 21:04:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000547
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000506
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000332
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000713
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000634
127.0.0.1, 2013-07-25 21:04:43, GET, /admin/default/site, HTTP/1.1, 200, 0.069760
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000546
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2013-07-25 21:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000647
127.0.0.1, 2013-07-25 21:04:44, GET, /admin/default/index, HTTP/1.1, 303, 0.009383
127.0.0.1, 2013-07-25 21:04:44, GET, /admin/default/site, HTTP/1.1, 200, 0.064906
127.0.0.1, 2013-07-25 21:04:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000587
127.0.0.1, 2013-07-25 21:04:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000283
127.0.0.1, 2013-07-25 21:04:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2013-07-25 21:04:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
127.0.0.1, 2013-07-25 21:04:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2013-07-25 21:04:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000640
127.0.0.1, 2013-07-25 21:04:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.035625
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.151534
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.003443
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003572
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.083918
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002203
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000556
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000683
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000711
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001391
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000956
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000746
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001665
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001115
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001988
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002977
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003695
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001086
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000478
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001232
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001382
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000804
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000567
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/js/typeahead.min.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000400
127.0.0.1, 2013-07-25 21:04:49, GET, /admin/static/images/files_toggle.png, HTTP/1.1, 200, 0.005384
127.0.0.1, 2013-07-25 21:04:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000518
127.0.0.1, 2013-07-25 21:04:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2013-07-25 21:04:50, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.501811
127.0.0.1, 2013-07-25 21:04:50, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000649
127.0.0.1, 2013-07-25 21:04:50, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.074087
127.0.0.1, 2013-07-25 21:04:50, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.257134
127.0.0.1, 2013-07-25 21:04:50, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.053939
127.0.0.1, 2013-07-25 21:05:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.795898
127.0.0.1, 2013-07-25 21:05:06, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.329610
127.0.0.1, 2013-07-25 21:05:06, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000685
